task,k,log,eval_seed,value
next_3_activities,11,BPI20ID,0,0.6795159578323364
next_3_activities,11,BPI20ID,1,0.6808685064315796
next_3_activities,11,BPI20ID,2,0.6816515326499939
next_3_activities,11,bpi13_incidents,0,0.5520575642585754
next_3_activities,11,bpi13_incidents,1,0.5544554591178894
next_3_activities,11,bpi13_incidents,2,0.5479578971862793
next_3_activities,11,helpdesk,0,0.7982496619224548
next_3_activities,11,helpdesk,1,0.7669276595115662
next_3_activities,11,helpdesk,2,0.749884843826294
next_3_activities,11,mimic_transfer,0,0.5824915766716003
next_3_activities,11,mimic_transfer,1,0.5819865465164185
next_3_activities,11,mimic_transfer,2,0.5836700201034546
next_3_activities,12,BPI17,0,0.7385756969451904
next_3_activities,12,BPI17,1,0.7381729483604431
next_3_activities,12,BPI17,2,0.7384946942329407
next_3_activities,12,BPI20ID,0,0.6694429516792297
next_3_activities,12,BPI20ID,1,0.6753159165382385
next_3_activities,12,BPI20ID,2,0.6717921495437622
next_3_activities,12,bpi13_incidents,0,0.5528310537338257
next_3_activities,12,bpi13_incidents,1,0.5567759871482849
next_3_activities,12,bpi13_incidents,2,0.5527536869049072
next_3_activities,12,helpdesk,0,0.8010133504867554
next_3_activities,12,helpdesk,1,0.7650852203369141
next_3_activities,12,helpdesk,2,0.7770612835884094
next_3_activities,12,mimic_transfer,0,0.5833333134651184
next_3_activities,12,mimic_transfer,1,0.5858585834503174
next_3_activities,12,mimic_transfer,2,0.5833333134651184
next_3_activities,13,BPI17,0,0.7230532169342041
next_3_activities,13,BPI17,1,0.7220555543899536
next_3_activities,13,BPI17,2,0.723111093044281
next_3_activities,13,BPI20ID,0,0.6731091141700745
next_3_activities,13,BPI20ID,1,0.6764904856681824
next_3_activities,13,BPI20ID,2,0.6755294799804688
next_3_activities,13,bpi13_incidents,0,0.5575494766235352
next_3_activities,13,bpi13_incidents,1,0.5577042102813721
next_3_activities,13,bpi13_incidents,2,0.5503557920455933
next_3_activities,13,helpdesk,0,0.7918010354042053
next_3_activities,13,helpdesk,1,0.7402119040489197
next_3_activities,13,helpdesk,2,0.7480424046516418
next_3_activities,13,mimic_transfer,0,0.5867003202438354
next_3_activities,13,mimic_transfer,1,0.5846801400184631
next_3_activities,13,mimic_transfer,2,0.5853535532951355
next_3_activities,14,BPI17,0,0.7300043106079102
next_3_activities,14,BPI17,1,0.7303885221481323
next_3_activities,14,BPI17,2,0.730687141418457
next_3_activities,14,BPI20ID,0,0.64986652135849
next_3_activities,14,BPI20ID,1,0.6473038196563721
next_3_activities,14,BPI20ID,2,0.6519665718078613
next_3_activities,14,bpi13_incidents,0,0.5459467768669128
next_3_activities,14,bpi13_incidents,1,0.5456373691558838
next_3_activities,14,bpi13_incidents,2,0.5500463843345642
next_3_activities,14,helpdesk,0,0.692307710647583
next_3_activities,14,helpdesk,1,0.7742975354194641
next_3_activities,14,helpdesk,2,0.7614002823829651
next_3_activities,14,mimic_transfer,0,0.5930976271629333
next_3_activities,14,mimic_transfer,1,0.5927609205245972
next_3_activities,14,mimic_transfer,2,0.5922558903694153
next_3_activities,15,BPI17,0,0.7140883207321167
next_3_activities,15,BPI17,1,0.7138267159461975
next_3_activities,15,BPI17,2,0.7145419716835022
next_3_activities,15,BPI20ID,0,0.671863317489624
next_3_activities,15,BPI20ID,1,0.6698700785636902
next_3_activities,15,BPI20ID,2,0.6683395504951477
next_3_activities,15,bpi13_incidents,0,0.5642790794372559
next_3_activities,15,bpi13_incidents,1,0.5708539485931396
next_3_activities,15,bpi13_incidents,2,0.5606435537338257
next_3_activities,15,helpdesk,0,0.7199447154998779
next_3_activities,15,helpdesk,1,0.7646245956420898
next_3_activities,15,helpdesk,2,0.7245509028434753
next_3_activities,15,mimic_transfer,0,0.5875421166419983
next_3_activities,15,mimic_transfer,1,0.5885521769523621
next_3_activities,15,mimic_transfer,2,0.587710440158844
next_5_activities,0,BPI17,0,0.6537371873855591
next_5_activities,0,BPI17,1,0.653190016746521
next_5_activities,0,BPI17,2,0.6535853147506714
next_5_activities,0,BPI20ID,0,0.5676074624061584
next_5_activities,0,BPI20ID,1,0.5681314468383789
next_5_activities,0,BPI20ID,2,0.5679409503936768
next_5_activities,0,bpi13_incidents,0,0.5145015120506287
next_5_activities,0,bpi13_incidents,1,0.5183647871017456
next_5_activities,0,bpi13_incidents,2,0.5171539187431335
next_5_activities,0,helpdesk,0,0.7219468355178833
next_5_activities,0,helpdesk,1,0.7616043090820312
next_5_activities,0,helpdesk,2,0.7634069323539734
next_5_activities,0,mimic_transfer,0,0.540448784828186
next_5_activities,0,mimic_transfer,1,0.5401535034179688
next_5_activities,0,mimic_transfer,2,0.5411868691444397
next_5_activities,1,BPI17,0,0.6577350497245789
next_5_activities,1,BPI17,1,0.657749354839325
next_5_activities,1,BPI17,2,0.6584641337394714
next_5_activities,1,BPI20ID,0,0.5745146870613098
next_5_activities,1,BPI20ID,1,0.5763487219810486
next_5_activities,1,BPI20ID,2,0.5764201283454895
next_5_activities,1,bpi13_incidents,0,0.5453497171401978
next_5_activities,1,bpi13_incidents,1,0.5417171120643616
next_5_activities,1,bpi13_incidents,2,0.5475407838821411
next_5_activities,1,helpdesk,0,0.7160883545875549
next_5_activities,1,helpdesk,1,0.7088778614997864
next_5_activities,1,helpdesk,2,0.7323118448257446
next_5_activities,1,mimic_transfer,0,0.5465013384819031
next_5_activities,1,mimic_transfer,1,0.5459108352661133
next_5_activities,1,mimic_transfer,2,0.5466489791870117
next_5_activities,2,BPI17,0,0.6704936027526855
next_5_activities,2,BPI17,1,0.6699721813201904
next_5_activities,2,BPI17,2,0.6702988147735596
next_5_activities,2,BPI20ID,0,0.6044777631759644
next_5_activities,2,BPI20ID,1,0.6071692109107971
next_5_activities,2,BPI20ID,2,0.6082172393798828
next_5_activities,2,bpi13_incidents,0,0.5367006659507751
next_5_activities,2,bpi13_incidents,1,0.5440812110900879
