log,arm,task,n_labels,n_train_samples,seed,value,run
BPI20ID,pfm,next_time,10,10,2,5.534675121307373,2026-09-11T10:25:26
BPI20ID,pfm,next_time,100,100,0,4.819106101989746,2026-09-11T10:23:06
BPI20ID,pfm,next_time,100,100,1,4.610723972320557,2026-09-11T10:23:57
BPI20ID,pfm,next_time,100,100,2,4.711234092712402,2026-09-11T10:25:26
BPI20ID,pfm,next_time,1000,1000,0,5.74009370803833,2026-09-11T10:23:06
BPI20ID,pfm,next_time,1000,1000,1,5.8383660316467285,2026-09-11T10:23:57
BPI20ID,pfm,next_time,1000,1000,2,5.711987495422363,2026-09-11T10:25:26
BPI20ID,pfm,next_time,30,30,0,4.76862907409668,2026-09-11T10:23:06
BPI20ID,pfm,next_time,30,30,1,4.60811710357666,2026-09-11T10:23:57
BPI20ID,pfm,next_time,30,30,2,4.531052112579346,2026-09-11T10:25:26
BPI20ID,pfm,next_time,300,300,0,4.709951400756836,2026-09-11T10:23:06
BPI20ID,pfm,next_time,300,300,1,4.773240566253662,2026-09-11T10:23:57
BPI20ID,pfm,next_time,300,300,2,4.756922721862793,2026-09-11T10:25:26
BPI20ID,pfm,next_time,5000,4514,0,4.599365234375,2026-09-11T10:23:06
BPI20ID,pfm,next_time,5000,4514,1,4.712406158447266,2026-09-11T10:23:57
BPI20ID,pfm,next_time,5000,4514,2,4.637104034423828,2026-09-11T10:25:26
BPI20ID,pfm,next_time,all,4514,0,4.599365234375,2026-09-11T10:23:06
BPI20ID,pfm,next_time,all,4514,1,4.712406158447266,2026-09-11T10:23:57
BPI20ID,pfm,next_time,all,4514,2,4.637104034423828,2026-09-11T10:25:26
BPI20ID,pfm,remaining_count,0,0,0,6.089582920074463,2026-09-11T10:23:06
BPI20ID,pfm,remaining_count,0,0,1,5.977731704711914,2026-09-11T10:23:57
BPI20ID,pfm,remaining_count,0,0,2,5.465451717376709,2026-09-11T10:25:26
BPI20ID,pfm,remaining_count,10,10,0,2.1030139923095703,2026-09-11T10:23:06
BPI20ID,pfm,remaining_count,10,10,1,2.5170352458953857,2026-09-11T10:23:57
BPI20ID,pfm,remaining_count,10,10,2,2.687699556350708,2026-09-11T10:25:26
BPI20ID,pfm,remaining_count,100,100,0,2.24064040184021,2026-09-11T10:23:06
BPI20ID,pfm,remaining_count,100,100,1,1.9261974096298218,2026-09-11T10:23:57
BPI20ID,pfm,remaining_count,100,100,2,2.0815517902374268,2026-09-11T10:25:26
BPI20ID,pfm,remaining_count,1000,1000,0,1.4604917764663696,2026-09-11T10:23:06
BPI20ID,pfm,remaining_count,1000,1000,1,1.4514042139053345,2026-09-11T10:23:57
BPI20ID,pfm,remaining_count,1000,1000,2,1.4837812185287476,2026-09-11T10:25:26
BPI20ID,pfm,remaining_count,30,30,0,2.1074869632720947,2026-09-11T10:23:06
BPI20ID,pfm,remaining_count,30,30,1,2.041378974914551,2026-09-11T10:23:57
BPI20ID,pfm,remaining_count,30,30,2,2.2592616081237793,2026-09-11T10:25:26
BPI20ID,pfm,remaining_count,300,300,0,1.533968210220337,2026-09-11T10:23:06
