log,arm,task,n_labels,n_train_samples,seed,value,run
BPI17,norole,future_activity_set,all,20446,2,0.7221470475196838,2026-09-06T23:15:46
BPI17,norole,next_3_activities,all,20446,0,0.5861514806747437,2026-09-06T23:01:51
BPI17,norole,next_3_activities,all,20446,1,0.5836169123649597,2026-09-06T23:08:04
BPI17,norole,next_3_activities,all,20446,2,0.5860797762870789,2026-09-06T23:15:46
BPI17,norole,next_5_activities,all,20446,0,0.5457471609115601,2026-09-06T23:01:51
BPI17,norole,next_5_activities,all,20446,1,0.5465880036354065,2026-09-06T23:08:04
BPI17,norole,next_5_activities,all,20446,2,0.547076404094696,2026-09-06T23:15:46
BPI17,norole,next_activity,all,20446,0,0.6313381195068359,2026-09-06T23:01:51
BPI17,norole,next_activity,all,20446,1,0.6308596134185791,2026-09-06T23:08:04
BPI17,norole,next_activity,all,20446,2,0.6335013508796692,2026-09-06T23:15:46
BPI17,norole,next_time,all,20446,0,0.7302117943763733,2026-09-06T23:01:51
BPI17,norole,next_time,all,20446,1,0.6413156986236572,2026-09-06T23:08:04
BPI17,norole,next_time,all,20446,2,0.6962129473686218,2026-09-06T23:15:46
BPI17,norole,remaining_count,all,20446,0,8.872312545776367,2026-09-06T23:01:51
BPI17,norole,remaining_count,all,20446,1,8.914822578430176,2026-09-06T23:08:04
BPI17,norole,remaining_count,all,20446,2,8.810532569885254,2026-09-06T23:15:46
BPI17,norole,remaining_time,all,20446,0,8.005146026611328,2026-09-06T23:01:51
BPI17,norole,remaining_time,all,20446,1,7.903372764587402,2026-09-06T23:08:04
BPI17,norole,remaining_time,all,20446,2,7.7558159828186035,2026-09-06T23:15:46
BPI17,pfm,future_activity_set,0,0,0,0.29954928159713745,2026-09-06T20:35:45
BPI17,pfm,future_activity_set,0,0,1,0.3382357954978943,2026-09-06T20:39:16
BPI17,pfm,future_activity_set,0,0,2,0.2911808490753174,2026-09-06T20:54:59
BPI17,pfm,future_activity_set,10,10,0,0.6329940557479858,2026-09-06T20:35:45
BPI17,pfm,future_activity_set,10,10,1,0.7184500694274902,2026-09-06T20:39:16
BPI17,pfm,future_activity_set,10,10,2,0.6634923815727234,2026-09-06T20:54:59
BPI17,pfm,future_activity_set,100,100,0,0.7252269983291626,2026-09-06T20:35:45
BPI17,pfm,future_activity_set,100,100,1,0.6858580112457275,2026-09-06T20:39:16
BPI17,pfm,future_activity_set,100,100,2,0.7113099694252014,2026-09-06T20:54:59
BPI17,pfm,future_activity_set,1000,1000,0,0.7340132594108582,2026-09-06T20:35:45
BPI17,pfm,future_activity_set,1000,1000,1,0.7337783575057983,2026-09-06T20:39:16
BPI17,pfm,future_activity_set,1000,1000,2,0.7337788939476013,2026-09-06T20:54:59
BPI17,pfm,future_activity_set,30,30,0,0.7462313175201416,2026-09-06T20:35:45
BPI17,pfm,future_activity_set,30,30,1,0.7351933717727661,2026-09-06T20:39:16
BPI17,pfm,future_activity_set,30,30,2,0.6944187879562378,2026-09-06T20:54:59
BPI17,pfm,future_activity_set,300,300,0,0.7548023462295532,2026-09-06T20:35:45
BPI17,pfm,future_activity_set,300,300,1,0.7204347252845764,2026-09-06T20:39:16
BPI17,pfm,future_activity_set,300,300,2,0.7294044494628906,2026-09-06T20:54:59
BPI17,pfm,future_activity_set,5000,5000,0,0.743869960308075,2026-09-06T20:35:45
BPI17,pfm,future_activity_set,5000,5000,1,0.7511669993400574,2026-09-06T20:39:16
BPI17,pfm,future_activity_set,5000,5000,2,0.7471776604652405,2026-09-06T20:54:59
BPI17,pfm,future_activity_set,all,20446,0,0.7661005258560181,2026-09-06T20:35:45
BPI17,pfm,future_activity_set,all,20446,1,0.7683237195014954,2026-09-06T20:39:16
BPI17,pfm,future_activity_set,all,20446,2,0.7701911330223083,2026-09-06T20:54:59
BPI17,pfm,next_3_activities,0,0,0,0.03413283824920654,2026-09-06T20:35:45
BPI17,pfm,next_3_activities,0,0,1,0.07014753669500351,2026-09-06T20:39:16
BPI17,pfm,next_3_activities,0,0,2,0.06394409388303757,2026-09-06T20:54:59
BPI17,pfm,next_3_activities,10,10,0,0.5377484560012817,2026-09-06T20:35:45
BPI17,pfm,next_3_activities,10,10,1,0.5596526265144348,2026-09-06T20:39:16
BPI17,pfm,next_3_activities,10,10,2,0.5735039114952087,2026-09-06T20:54:59
BPI17,pfm,next_3_activities,100,100,0,0.5772953629493713,2026-09-06T20:35:45
BPI17,pfm,next_3_activities,100,100,1,0.5713164806365967,2026-09-06T20:39:16
BPI17,pfm,next_3_activities,100,100,2,0.583283543586731,2026-09-06T20:54:59
BPI17,pfm,next_3_activities,1000,1000,0,0.6790180206298828,2026-09-06T20:35:45
BPI17,pfm,next_3_activities,1000,1000,1,0.6662916541099548,2026-09-06T20:39:16
BPI17,pfm,next_3_activities,1000,1000,2,0.6752750873565674,2026-09-06T20:54:59
BPI17,pfm,next_3_activities,30,30,0,0.5808114409446716,2026-09-06T20:35:45
BPI17,pfm,next_3_activities,30,30,1,0.5782675743103027,2026-09-06T20:39:16
BPI17,pfm,next_3_activities,30,30,2,0.5851584672927856,2026-09-06T20:54:59
BPI17,pfm,next_3_activities,300,300,0,0.6385937333106995,2026-09-06T20:35:45
BPI17,pfm,next_3_activities,300,300,1,0.6357998847961426,2026-09-06T20:39:16
BPI17,pfm,next_3_activities,300,300,2,0.6377002596855164,2026-09-06T20:54:59
BPI17,pfm,next_3_activities,5000,5000,0,0.7023827433586121,2026-09-06T20:35:45
BPI17,pfm,next_3_activities,5000,5000,1,0.6939595341682434,2026-09-06T20:39:16
BPI17,pfm,next_3_activities,5000,5000,2,0.7000471949577332,2026-09-06T20:54:59
BPI17,pfm,next_3_activities,all,20446,0,0.7058571577072144,2026-09-06T20:35:45
BPI17,pfm,next_3_activities,all,20446,1,0.7060192227363586,2026-09-06T20:39:16
BPI17,pfm,next_3_activities,all,20446,2,0.706630289554596,2026-09-06T20:54:59
BPI17,pfm,next_5_activities,0,0,0,0.03034435398876667,2026-09-06T20:35:45
BPI17,pfm,next_5_activities,0,0,1,0.049010198563337326,2026-09-06T20:39:16
BPI17,pfm,next_5_activities,0,0,2,0.04771959036588669,2026-09-06T20:54:59
BPI17,pfm,next_5_activities,10,10,0,0.5033833980560303,2026-09-06T20:35:45
BPI17,pfm,next_5_activities,10,10,1,0.5162379145622253,2026-09-06T20:39:16
BPI17,pfm,next_5_activities,10,10,2,0.5344725847244263,2026-09-06T20:54:59
BPI17,pfm,next_5_activities,100,100,0,0.542305052280426,2026-09-06T20:35:45
BPI17,pfm,next_5_activities,100,100,1,0.5298845767974854,2026-09-06T20:39:16
BPI17,pfm,next_5_activities,100,100,2,0.5415258407592773,2026-09-06T20:54:59
BPI17,pfm,next_5_activities,1000,1000,0,0.6257534623146057,2026-09-06T20:35:45
BPI17,pfm,next_5_activities,1000,1000,1,0.6175342202186584,2026-09-06T20:39:16
BPI17,pfm,next_5_activities,1000,1000,2,0.6252621412277222,2026-09-06T20:54:59
BPI17,pfm,next_5_activities,30,30,0,0.54940265417099,2026-09-06T20:35:45
BPI17,pfm,next_5_activities,30,30,1,0.5329169631004333,2026-09-06T20:39:16
BPI17,pfm,next_5_activities,30,30,2,0.5402796268463135,2026-09-06T20:54:59
BPI17,pfm,next_5_activities,300,300,0,0.5931272506713867,2026-09-06T20:35:45
BPI17,pfm,next_5_activities,300,300,1,0.5937976241111755,2026-09-06T20:39:16
BPI17,pfm,next_5_activities,300,300,2,0.5958688855171204,2026-09-06T20:54:59
BPI17,pfm,next_5_activities,5000,5000,0,0.6473585963249207,2026-09-06T20:35:45
BPI17,pfm,next_5_activities,5000,5000,1,0.6422019004821777,2026-09-06T20:39:16
BPI17,pfm,next_5_activities,5000,5000,2,0.6464031934738159,2026-09-06T20:54:59
BPI17,pfm,next_5_activities,all,20446,0,0.6529006361961365,2026-09-06T20:35:45
BPI17,pfm,next_5_activities,all,20446,1,0.6480576395988464,2026-09-06T20:39:16
BPI17,pfm,next_5_activities,all,20446,2,0.6482395529747009,2026-09-06T20:54:59
BPI17,pfm,next_activity,0,0,0,0.0328395813703537,2026-09-06T20:35:45
BPI17,pfm,next_activity,0,0,1,0.12094643712043762,2026-09-06T20:39:16
BPI17,pfm,next_activity,0,0,2,0.019469229504466057,2026-09-06T20:54:59
BPI17,pfm,next_activity,10,10,0,0.6076906323432922,2026-09-06T20:35:45
